분기,시군구명,서비스업종,1년생존률,3년생존률,5년생존률
1,노원구,치킨,62.5,30.4,19.6
1,은평구,치킨,78,54.2,37.3
1,서대문구,치킨,65.6,34.4,25
1,마포구,치킨,78.4,39.2,27.5
1,양천구,치킨,71.8,48.7,30.8
1,강서구,치킨,67.2,29.7,17.2
1,구로구,치킨,61.8,43.6,29.1
1,금천구,치킨,67.7,38.7,22.6
1,영등포구,치킨,75,46.9,31.3
1,동작구,치킨,77.8,42.6,33.3
1,관악구,치킨,68.1,37.7,26.1
1,서초구,치킨,70.7,46.3,26.8
1,강남구,치킨,67.7,35.4,26.2
1,송파구,치킨,67.4,33.7,25.8
1,강동구,치킨,79.1,37.2,23.3
2,종로구,치킨,70.6,47.1,29.4
